2026-06-28 09:58:37 | INFO     | main:on_shutdown:82 | ShopFloorScheduler API shutting down.
2026-06-28 09:58:37 | INFO     | main:on_startup:76 | ShopFloorScheduler API starting up (v1.0.0).
2026-06-28 09:58:37 | INFO     | main:on_startup:77 | Swagger docs available at http://localhost:8000/docs
2026-06-28 09:58:37 | INFO     | schedule:upload_and_schedule:305 | File uploaded for task 997880f5-ccbe-4291-abb2-b7fae8b3f088. Starting FCFS optimization.
2026-06-28 09:58:37 | INFO     | main:on_shutdown:82 | ShopFloorScheduler API shutting down.
2026-06-28 09:58:37 | INFO     | main:on_startup:76 | ShopFloorScheduler API starting up (v1.0.0).
2026-06-28 09:58:37 | INFO     | main:on_startup:77 | Swagger docs available at http://localhost:8000/docs
2026-06-28 09:58:37 | INFO     | main:on_shutdown:82 | ShopFloorScheduler API shutting down.
2026-06-28 09:58:37 | INFO     | main:on_startup:76 | ShopFloorScheduler API starting up (v1.0.0).
2026-06-28 09:58:37 | INFO     | main:on_startup:77 | Swagger docs available at http://localhost:8000/docs
2026-06-28 09:58:37 | INFO     | main:on_shutdown:82 | ShopFloorScheduler API shutting down.
2026-06-28 09:58:37 | INFO     | main:on_startup:76 | ShopFloorScheduler API starting up (v1.0.0).
2026-06-28 09:58:37 | INFO     | main:on_startup:77 | Swagger docs available at http://localhost:8000/docs
2026-06-28 09:58:37 | INFO     | main:on_shutdown:82 | ShopFloorScheduler API shutting down.
2026-06-28 09:58:37 | INFO     | main:on_startup:76 | ShopFloorScheduler API starting up (v1.0.0).
2026-06-28 09:58:37 | INFO     | main:on_startup:77 | Swagger docs available at http://localhost:8000/docs
2026-06-28 09:58:38 | INFO     | main:on_shutdown:82 | ShopFloorScheduler API shutting down.
2026-06-28 09:58:38 | INFO     | main:on_startup:76 | ShopFloorScheduler API starting up (v1.0.0).
2026-06-28 09:58:38 | INFO     | main:on_startup:77 | Swagger docs available at http://localhost:8000/docs
2026-06-28 09:58:39 | INFO     | main:on_shutdown:82 | ShopFloorScheduler API shutting down.
2026-06-28 09:59:41 | INFO     | main:on_startup:76 | ShopFloorScheduler API starting up (v1.0.0).
2026-06-28 09:59:41 | INFO     | main:on_startup:77 | Swagger docs available at http://localhost:8000/docs
2026-06-28 09:59:41 | INFO     | main:on_shutdown:82 | ShopFloorScheduler API shutting down.
2026-06-28 09:59:41 | INFO     | main:on_startup:76 | ShopFloorScheduler API starting up (v1.0.0).
2026-06-28 09:59:41 | INFO     | main:on_startup:77 | Swagger docs available at http://localhost:8000/docs
2026-06-28 09:59:41 | INFO     | main:on_shutdown:82 | ShopFloorScheduler API shutting down.
2026-06-28 09:59:41 | INFO     | main:on_startup:76 | ShopFloorScheduler API starting up (v1.0.0).
2026-06-28 09:59:41 | INFO     | main:on_startup:77 | Swagger docs available at http://localhost:8000/docs
2026-06-28 09:59:41 | INFO     | main:on_shutdown:82 | ShopFloorScheduler API shutting down.
2026-06-28 09:59:41 | INFO     | main:on_startup:76 | ShopFloorScheduler API starting up (v1.0.0).
2026-06-28 09:59:41 | INFO     | main:on_startup:77 | Swagger docs available at http://localhost:8000/docs
2026-06-28 09:59:41 | INFO     | schedule:upload_and_schedule:305 | File uploaded for task 522a4395-dd06-4b4a-8b8c-a4c54de543c4. Starting FCFS optimization.
2026-06-28 09:59:41 | INFO     | main:on_shutdown:82 | ShopFloorScheduler API shutting down.
2026-06-28 09:59:41 | INFO     | main:on_startup:76 | ShopFloorScheduler API starting up (v1.0.0).
2026-06-28 09:59:41 | INFO     | main:on_startup:77 | Swagger docs available at http://localhost:8000/docs
2026-06-28 09:59:41 | INFO     | main:on_shutdown:82 | ShopFloorScheduler API shutting down.
2026-06-28 09:59:41 | INFO     | main:on_startup:76 | ShopFloorScheduler API starting up (v1.0.0).
2026-06-28 09:59:41 | INFO     | main:on_startup:77 | Swagger docs available at http://localhost:8000/docs
2026-06-28 09:59:41 | INFO     | main:on_shutdown:82 | ShopFloorScheduler API shutting down.
2026-06-28 09:59:41 | INFO     | main:on_startup:76 | ShopFloorScheduler API starting up (v1.0.0).
2026-06-28 09:59:41 | INFO     | main:on_startup:77 | Swagger docs available at http://localhost:8000/docs
2026-06-28 09:59:41 | INFO     | main:on_shutdown:82 | ShopFloorScheduler API shutting down.
2026-06-28 09:59:41 | INFO     | main:on_startup:76 | ShopFloorScheduler API starting up (v1.0.0).
2026-06-28 09:59:41 | INFO     | main:on_startup:77 | Swagger docs available at http://localhost:8000/docs
2026-06-28 09:59:43 | INFO     | main:on_shutdown:82 | ShopFloorScheduler API shutting down.
2026-06-28 09:59:43 | INFO     | main:on_startup:76 | ShopFloorScheduler API starting up (v1.0.0).
2026-06-28 09:59:43 | INFO     | main:on_startup:77 | Swagger docs available at http://localhost:8000/docs
2026-06-28 09:59:44 | INFO     | main:on_shutdown:82 | ShopFloorScheduler API shutting down.
2026-06-28 10:00:15 | INFO     | main:on_startup:76 | ShopFloorScheduler API starting up (v1.0.0).
2026-06-28 10:00:15 | INFO     | main:on_startup:77 | Swagger docs available at http://localhost:8000/docs
2026-06-28 10:00:15 | INFO     | main:on_shutdown:82 | ShopFloorScheduler API shutting down.
2026-06-28 10:00:15 | INFO     | main:on_startup:76 | ShopFloorScheduler API starting up (v1.0.0).
2026-06-28 10:00:15 | INFO     | main:on_startup:77 | Swagger docs available at http://localhost:8000/docs
2026-06-28 10:00:15 | INFO     | main:on_shutdown:82 | ShopFloorScheduler API shutting down.
2026-06-28 10:00:15 | INFO     | main:on_startup:76 | ShopFloorScheduler API starting up (v1.0.0).
2026-06-28 10:00:15 | INFO     | main:on_startup:77 | Swagger docs available at http://localhost:8000/docs
2026-06-28 10:00:15 | INFO     | main:on_shutdown:82 | ShopFloorScheduler API shutting down.
2026-06-28 10:00:15 | INFO     | main:on_startup:76 | ShopFloorScheduler API starting up (v1.0.0).
2026-06-28 10:00:15 | INFO     | main:on_startup:77 | Swagger docs available at http://localhost:8000/docs
2026-06-28 10:00:15 | INFO     | schedule:upload_and_schedule:305 | File uploaded for task 423cc520-e618-44af-a2b6-59709384f8c1. Starting FCFS optimization.
2026-06-28 10:00:15 | INFO     | main:on_shutdown:82 | ShopFloorScheduler API shutting down.
2026-06-28 10:00:15 | INFO     | main:on_startup:76 | ShopFloorScheduler API starting up (v1.0.0).
2026-06-28 10:00:15 | INFO     | main:on_startup:77 | Swagger docs available at http://localhost:8000/docs
2026-06-28 10:00:15 | INFO     | main:on_shutdown:82 | ShopFloorScheduler API shutting down.
2026-06-28 10:00:15 | INFO     | main:on_startup:76 | ShopFloorScheduler API starting up (v1.0.0).
2026-06-28 10:00:15 | INFO     | main:on_startup:77 | Swagger docs available at http://localhost:8000/docs
2026-06-28 10:00:15 | INFO     | main:on_shutdown:82 | ShopFloorScheduler API shutting down.
2026-06-28 10:00:15 | INFO     | main:on_startup:76 | ShopFloorScheduler API starting up (v1.0.0).
2026-06-28 10:00:15 | INFO     | main:on_startup:77 | Swagger docs available at http://localhost:8000/docs
2026-06-28 10:00:15 | INFO     | main:on_shutdown:82 | ShopFloorScheduler API shutting down.
2026-06-28 10:00:15 | INFO     | main:on_startup:76 | ShopFloorScheduler API starting up (v1.0.0).
2026-06-28 10:00:15 | INFO     | main:on_startup:77 | Swagger docs available at http://localhost:8000/docs
